event_link,event_wikidata_id,event_name,event_sport_wikidata_id,event_sport,event_part_of_wikidata_id,event_part_of,medal,medalist_link,medalist_wikidata_id,medalist_name,delegation_link,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,date_of_birth,sex_or_gender_wikidata_id,sex_or_gender,place_of_birth_wikidata_id,place_of_birth,place_of_birth_coordinates,lat,lon,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,nuts0_id,nuts0_name,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts2_population,nuts2_gdp,nuts3_id,nuts3_name,nuts3_population,nuts3_gdp
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_downhill,Q137163331,alpine skiing at the 2026 Winter Olympics – men's downhill,Q186222,alpine skiing,Q111737761,alpine skiing at the 2026 Winter Olympics,gold,https://en.wikipedia.org/wiki/Franjo_von_Allmen,Q104346771,Franjo von Allmen,https://en.wikipedia.org/wiki/Switzerland_at_the_2026_Winter_Olympics,Q111721506,Switzerland at the 2026 Winter Olympics,Q39,Switzerland,2001-07-24,Q6581097,male,Q65939,Boltigen,"46.6291,7.3911",46.6291,7.3911,Q869479,Obersimmental-Saanen administrative district,CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH02,Espace Mittelland,1962040,136702,CH021,Bern,1071216,78596.98
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_downhill,Q137163331,alpine skiing at the 2026 Winter Olympics – men's downhill,Q186222,alpine skiing,Q111737761,alpine skiing at the 2026 Winter Olympics,silver,https://en.wikipedia.org/wiki/Giovanni_Franzoni_(alpine_skier),Q85188309,Giovanni Franzoni,https://en.wikipedia.org/wiki/Italy_at_the_2026_Winter_Olympics,Q111721489,Italy at the 2026 Winter Olympics,Q38,Italy,2001-03-30,Q6581097,male,Q6221,Brescia,"45.538888888889,10.220280555556",45.538888888889,10.220280555556,Q16144,Province of Brescia,IT,Italy,ITC,Nord-Ovest,ITC4,Lombardia,10033918,490132.1,ITC47,Brescia,1265884,50792.45
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_downhill,Q137163331,alpine skiing at the 2026 Winter Olympics – men's downhill,Q186222,alpine skiing,Q111737761,alpine skiing at the 2026 Winter Olympics,bronze,https://en.wikipedia.org/wiki/Dominik_Paris,Q500006,Dominik Paris,https://en.wikipedia.org/wiki/Italy_at_the_2026_Winter_Olympics,Q111721489,Italy at the 2026 Winter Olympics,Q38,Italy,1989-04-14,Q6581097,male,Q131605,Merano,"46.669555,11.159419",46.669555,11.159419,Q15124,South Tyrol,IT,Italy,ITH,Nord-Est,ITH1,Provincia Autonoma di Bolzano/Bozen,539679,32026.7,ITH10,Bolzano-Bozen,539679,29851.37
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_super-G,Q137864125,alpine skiing at the 2026 Winter Olympics – men's super-G,NA,NA,Q111737761,alpine skiing at the 2026 Winter Olympics,gold,https://en.wikipedia.org/wiki/Franjo_von_Allmen,Q104346771,Franjo von Allmen,https://en.wikipedia.org/wiki/Switzerland_at_the_2026_Winter_Olympics,Q111721506,Switzerland at the 2026 Winter Olympics,Q39,Switzerland,2001-07-24,Q6581097,male,Q65939,Boltigen,"46.6291,7.3911",46.6291,7.3911,Q869479,Obersimmental-Saanen administrative district,CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH02,Espace Mittelland,1962040,136702,CH021,Bern,1071216,78596.98
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_super-G,Q137864125,alpine skiing at the 2026 Winter Olympics – men's super-G,NA,NA,Q111737761,alpine skiing at the 2026 Winter Olympics,bronze,https://en.wikipedia.org/wiki/Marco_Odermatt,Q23707652,Marco Odermatt,https://en.wikipedia.org/wiki/Switzerland_at_the_2026_Winter_Olympics,Q111721506,Switzerland at the 2026 Winter Olympics,Q39,Switzerland,1997-10-08,Q6581097,male,Q63931,Stans,"46.959444444444,8.3666666666667",46.959444444444,8.3666666666667,Q12592,Canton of Nidwalden,CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH06,Zentralschweiz,863896,65855.09,CH065,Nidwalden,45345,2916.46
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_team_combined,Q137864129,alpine skiing at the 2026 Winter Olympics – men's team combined,Q186222,alpine skiing,Q111737761,alpine skiing at the 2026 Winter Olympics,gold,https://en.wikipedia.org/wiki/Franjo_von_Allmen,Q104346771,Franjo von Allmen,https://en.wikipedia.org/wiki/Switzerland_at_the_2026_Winter_Olympics,Q111721506,Switzerland at the 2026 Winter Olympics,Q39,Switzerland,2001-07-24,Q6581097,male,Q65939,Boltigen,"46.6291,7.3911",46.6291,7.3911,Q869479,Obersimmental-Saanen administrative district,CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH02,Espace Mittelland,1962040,136702,CH021,Bern,1071216,78596.98
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_team_combined,Q137864129,alpine skiing at the 2026 Winter Olympics – men's team combined,Q186222,alpine skiing,Q111737761,alpine skiing at the 2026 Winter Olympics,gold,https://en.wikipedia.org/wiki/Tanguy_Nef,Q58840078,Tanguy Nef,https://en.wikipedia.org/wiki/Switzerland_at_the_2026_Winter_Olympics,Q111721506,Switzerland at the 2026 Winter Olympics,Q39,Switzerland,1996-11-19,Q6581097,male,Q71,Geneva,"46.2,6.15",46.2,6.15,Q11917,Canton of Geneva,CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH01,Région lémanique,1757496,129250.55,CH013,Genève,531102,52212.88
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_team_combined,Q137864129,alpine skiing at the 2026 Winter Olympics – men's team combined,Q186222,alpine skiing,Q111737761,alpine skiing at the 2026 Winter Olympics,silver,https://en.wikipedia.org/wiki/Vincent_Kriechmayr,Q177041,Vincent Kriechmayr,https://en.wikipedia.org/wiki/Austria_at_the_2026_Winter_Olympics,Q111721470,Austria at the 2026 Winter Olympics,Q40,Austria,1991-10-01,Q6581097,male,Q41329,Linz,"48.3058333333333,14.2863888888889",48.3058333333333,14.2863888888889,Q41967,Upper Austria,AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,1535519,81776.31,AT312,Linz-Wels,617181,38907.04
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_team_combined,Q137864129,alpine skiing at the 2026 Winter Olympics – men's team combined,Q186222,alpine skiing,Q111737761,alpine skiing at the 2026 Winter Olympics,silver,https://en.wikipedia.org/wiki/Manuel_Feller,Q1784020,Manuel Feller,https://en.wikipedia.org/wiki/Austria_at_the_2026_Winter_Olympics,Q111721470,Austria at the 2026 Winter Olympics,Q40,Austria,1992-10-13,Q6581097,male,Q699599,St. Johann in Tirol,"47.5225,12.425555555556",47.5225,12.425555555556,Q265649,Kitzbühel District,AT,Austria,AT3,Westösterreich,AT33,Tirol,777660,41953.24,AT335,Tiroler Unterland,267743,13920.01
https://en.wikipedia.org/wiki/Alpine_skiing_at_the_2026_Winter_Olympics_%E2%80%93_Men%27s_team_combined,Q137864129,alpine skiing at the 2026 Winter Olympics – men's team combined,Q186222,alpine skiing,Q111737761,alpine skiing at the 2026 Winter Olympics,silver,https://en.wikipedia.org/wiki/Marco_Odermatt,Q23707652,Marco Odermatt,https://en.wikipedia.org/wiki/Switzerland_at_the_2026_Winter_Olympics,Q111721506,Switzerland at the 2026 Winter Olympics,Q39,Switzerland,1997-10-08,Q6581097,male,Q63931,Stans,"46.959444444444,8.3666666666667",46.959444444444,8.3666666666667,Q12592,Canton of Nidwalden,CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH06,Zentralschweiz,863896,65855.09,CH065,Nidwalden,45345,2916.46
